2023-06-05		10:05:08	a1f24164-306c-4ef9-8e30-0f0d36aea413	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:05:32	3c14ff11-02a7-48ff-91b2-3a89c19bd1cd	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:25	14db6839-a93f-4dad-90d1-600cc641bf0c	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:35	21753587-e091-4857-8774-5e6b6abfd984	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:49	0ecbb256-52ac-4a48-88f5-98f2f110f1af	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:53	b86f8cde-bf2e-49b0-ae16-4ee05796b7a7	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:55	bcfdd656-25ac-47fc-b9cb-b2fc53b1eec3	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:57	589647ad-a48e-4c22-af59-7d2b691dfe5a	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:58	25546610-92c3-4bd8-b2b6-6082118e108a	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:06:59	33b5650d-d477-4fc1-b098-f5dad5667065	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:07:14	984729ba-164f-4c1f-a881-07d1f677c75d	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:07:17	85853ac0-5006-421b-be1a-227d43f5a7ce	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:07:27	7d2790ff-6655-4072-8e83-4c4ed5cbdcb5	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:07:30	05d7e25b-b8bb-4b5b-b5e5-b8acc9bb0cec	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:09:17	8cb9e101-095d-4796-ba38-f15e47845ae4	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:09:34	2baede5a-158d-42a5-bcd3-9a5fd19214a8	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-05		10:09:44	787a5124-3492-48d5-872a-776dd4cacb13	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-07		15:25:14	8c2d3ade-696c-4a5e-ac13-70defa377ec5	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-08		10:35:07	3db39af6-0c83-472e-a2c5-ab4cb6ad1018	 undefined: undefined	undefined	undefined 
2023-06-08		10:38:13	799781de-3381-4a32-9594-adc813365f55	 undefined: ETIMEOUT	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-08		16:24:22	cc640435-8efe-40a4-b037-bd48147cd1a2	 undefined: undefined	undefined	undefined 
2023-06-13		10:47:31	74eb1c06-18b4-41d6-8d96-cc7886854a6b	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-13		10:56:43	d4b1b8be-64b0-4884-8ce4-42d06f8b495d	 undefined: undefined	undefined	undefined 
2023-06-13		11:11:21	a6729cc7-11b6-4f92-8922-4fe2de5f2ca8	 undefined: undefined	undefined	undefined 
2023-06-14		13:41:20	fef044af-b73a-43d0-b5a3-971c70a006aa	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-14		13:54:28	a98c6b03-e350-4e42-bd83-3a59ac767732	 undefined: ETIMEOUT	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-15		09:21:46	c8131461-4961-4826-a75c-4836db43f056	 undefined: ECONNREFUSED	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
2023-06-15		09:29:34	a25cd450-d4e9-4811-9ed0-ca3f89290035	 undefined: undefined	undefined	undefined 
2023-06-15		09:31:28	59b20e45-62aa-4b21-ae57-76fef1b3b594	 undefined: undefined	undefined	undefined 
2023-06-15		09:33:12	13e7daf6-c332-4070-9b77-7e7d853cd061	 undefined: ETIMEOUT	querySrv	_mongodb._tcp.cluster0.d0glbem.mongodb.net 
